id,question,answer
0,Evaluate the limit: \[ \lim_{n \to \infty} \frac{\log(|\sin(\frac{1}{n})|)}{\log(n+1)} \],-1
1,"Calculate the volume of the solid under the surface \( z = \sqrt{x^2 - 2xy + y^2} \) within the rectangular region \( R = \{(x, y) | 0 \leq x \leq 1, 0 \leq y \leq 1\} \).",\dfrac{1}{3}
2,Solve the recurrence relation: \[ T(n) = T(n-1) + T(n/2) + n \],O(2^n)
3,"Given that the equation \(Ax = 0\) has only one solution, determine the number of solutions to the equation \((A^T)Ax = 0\).",1
4,"Calculate the Laplacian of the function \( u(x,y,z) = \frac{1}{\sqrt{x^2 + y^2 + z^2}} \).",0
5,"A circle has an area of $M\text{ cm}^2$ and a circumference of $N\text{ cm}$. If $\dfrac{M}{N}=20$, what is the radius of the circle, in cm?",40
6,"At the World Meteorological Conference, each participant announced the average monthly temperature in their home city. All other participants recorded the product of the temperatures in his and their cities. A total of 50 positive and 60 negative numbers were recorded. What is the minimum number of times a positive temperature could have been announced?",5
7,Find the minimum value of \( y = \frac{1}{2}(e^x - e^{-x}) + \frac{n}{2}(e^x + e^{-x }) \) for \( n \geq 2 \) using algebra.,\sqrt{n^2 - 1}
8,"Find the maximum value of the function \( f(x, y, z) = xy + 2yz \) subject to the constraint \( x^2 + y^2 + z^2 = 36 \).",18\sqrt{5}
9,"Suppose that  $\{a_n\}$ is an arithmetic sequence with $$
a_1+a_2+ \cdots +a_{100}=100 \quad \text{and} \quad
a_{101}+a_{102}+ \cdots + a_{200}=200.
$$What is the value of $a_2 - a_1$? Express your answer as a common fraction.",\frac{1}{100}
10,What is the largest three-digit integer $n$ that satisfies $$55n\equiv 165\pmod{260}~?$$,991
11,Find the limit of the sequence \( S_n = \frac{1-2+3-4+\ldots+(-2n)}{\sqrt{n^2+1} +\sqrt{n^2-1}} \) as \( n \to \infty \).,-\dfrac{1}{2}
12,How many distinct four-digit numbers are divisible by 3 and have 23 as their last two digits?,30
13,Is it possible for a self-complementary graph to have 10 vertices? Provide a justification for your answer.,No
14,"The four-digit number $25AB$ is divisible by nine, with $A$ the tens digit and $B$ the units digit. How many different such four-digit numbers could $25AB$ represent?",11
